term,estimate,std.error,conf.low,conf.high,method
cconsistMinor inconsistencies,0.08301574493707271,0.0028744800385445365,0.07738148914681581,0.08865000072732962,Conventional (fixed-n)
cconsistNo inconsistencies,0.11248396278700303,0.0029561985578484885,0.10668953088336715,0.1182783946906389,Conventional (fixed-n)
cgenderMale,-0.05887892329254149,0.0023012480474550938,-0.06338958955646738,-0.05436825702861559,Conventional (fixed-n)
coriginEritrea,0.007732424815043911,0.004255935032276738,-6.096148850139611e-4,0.016074464515101784,Conventional (fixed-n)
coriginIraq,-0.001949711783276775,0.004247771832815932,-0.010275750831664663,0.006376327265111113,Conventional (fixed-n)
coriginKosovo,-0.01254484461378048,0.0042792979803366864,-0.020932677926463642,-0.004157011301097319,Conventional (fixed-n)
coriginPakistan,-0.0013927221098632395,0.004263996411190566,-0.009750562883580918,0.0069651186638544395,Conventional (fixed-n)
coriginSyria,0.019490062664125462,0.0042469302899084405,0.011165673120321256,0.02781445220792967,Conventional (fixed-n)
coriginUkraine,0.012929503713131509,0.004318941436859886,0.004463965434170436,0.021395041992092582,Conventional (fixed-n)
cage38 Years,-0.005989330031734645,0.0028140987314243626,-0.011505232685179582,-4.734273782897071e-4,Conventional (fixed-n)
cage62 Years,-0.06342865363175886,0.0029571978963672295,-0.06922504433446801,-0.0576322629290497,Conventional (fixed-n)
cjobCleaner,-0.0300126357157848,0.003997317809540562,-0.03784776092517908,-0.022177510506390517,Conventional (fixed-n)
cjobDoctor,0.0555151631620787,0.003933281659160995,0.047805554931833284,0.0632247713923241,Conventional (fixed-n)
cjobFarmer,-0.02217589036797957,0.003960648814328835,-0.029939140839743326,-0.014412639896215815,Conventional (fixed-n)
cjobTeacher,0.015786259995233733,0.0039678809416057795,0.008008833862327926,0.02356368612813954,Conventional (fixed-n)
cjobUnemployed,-0.08567470663214724,0.003981089406941353,-0.09347802262036582,-0.07787139064392866,Conventional (fixed-n)
cvulnerNo surviving family,0.009999936602053214,0.0036588458924316524,0.002828248721580456,0.01717162448252597,Conventional (fixed-n)
cvulnerNone,-0.02690001939782038,0.0037126303932222436,-0.03417713004378185,-0.01962290875185891,Conventional (fixed-n)
cvulnerPTSD,-0.018163420125783168,0.003658936724186456,-0.02533528604518247,-0.010991554206383865,Conventional (fixed-n)
cvulnerVictim of torture,0.08475496302997688,0.0036771994498298976,0.07754730042167292,0.09196262563828085,Conventional (fixed-n)
creasonEthnic persecution,0.15449333865580914,0.0033908150070547445,0.14784701694509667,0.1611396603665216,Conventional (fixed-n)
creasonPolitical persecution,0.14202919759170007,0.0033965726533526255,0.1353715903435836,0.14868680483981656,Conventional (fixed-n)
creasonReligious persecution,0.1462098745664057,0.003425256897777291,0.1394960434558613,0.15292370567695007,Conventional (fixed-n)
creligionChristian,0.03900450732136834,0.002841553587138064,0.03343479052494751,0.04457422411778918,Conventional (fixed-n)
creligionMuslim,-0.06806158235889287,0.002873884517766354,-0.07369467087146904,-0.0624284938463167,Conventional (fixed-n)
clangFluent,0.05922216206524231,0.0028263595913182336,0.05368222695377914,0.06476209717670549,Conventional (fixed-n)
clangNone,-0.05983056982272109,0.0028176923043976326,-0.06535351622288225,-0.05430762342255993,Conventional (fixed-n)
cconsistMinor inconsistencies,0.08301574493707271,0.0028744800385445365,0.07429035210781865,0.09174113776632678,Anytime-valid (CS)
cconsistNo inconsistencies,0.11248396278700303,0.0029561985578484885,0.10351051598875602,0.12145740958525003,Anytime-valid (CS)
cgenderMale,-0.05887892329254149,0.0023012480474550938,-0.06586428862552413,-0.051893557959558856,Anytime-valid (CS)
coriginEritrea,0.007732424815043911,0.004255935032276738,-0.005186330756207648,0.02065118038629547,Anytime-valid (CS)
coriginIraq,-0.001949711783276775,0.004247771832815932,-0.014843688221925569,0.01094426465537202,Anytime-valid (CS)
coriginKosovo,-0.01254484461378048,0.0042792979803366864,-0.02553451767158231,4.4482844402134875e-4,Anytime-valid (CS)
coriginPakistan,-0.0013927221098632395,0.004263996411190566,-0.014335947740682241,0.011550503520955763,Anytime-valid (CS)
coriginSyria,0.019490062664125462,0.0042469302899084405,0.006598640702234924,0.032381484626016,Anytime-valid (CS)
coriginUkraine,0.012929503713131509,0.004318941436859886,-1.805057973977911e-4,0.02603951322366081,Anytime-valid (CS)
cage38 Years,-0.005989330031734645,0.0028140987314243626,-0.01453143732165544,0.0025527772581861513,Anytime-valid (CS)
cage62 Years,-0.06342865363175886,0.0029571978963672295,-0.0724051338903286,-0.05445217337318911,Anytime-valid (CS)
cjobCleaner,-0.0300126357157848,0.003997317809540562,-0.04214636692418623,-0.017878904507383366,Anytime-valid (CS)
cjobDoctor,0.0555151631620787,0.003933281659160995,0.04357581165360304,0.06745451467055436,Anytime-valid (CS)
cjobFarmer,-0.02217589036797957,0.003960648814328835,-0.03419831400646016,-0.010153466729498978,Anytime-valid (CS)
cjobTeacher,0.015786259995233733,0.0039678809416057795,0.003741883464182541,0.027830636526284924,Anytime-valid (CS)
cjobUnemployed,-0.08567470663214724,0.003981089406941353,-0.09775917704006627,-0.07359023622422821,Anytime-valid (CS)
cvulnerNo surviving family,0.009999936602053214,0.0036588458924316524,-0.001106373855866566,0.021106247059972993,Anytime-valid (CS)
cvulnerNone,-0.02690001939782038,0.0037126303932222436,-0.03816959099905318,-0.015630447796587583,Anytime-valid (CS)
cvulnerPTSD,-0.018163420125783168,0.003658936724186456,-0.029270006300608754,-0.007056833950957582,Anytime-valid (CS)
cvulnerVictim of torture,0.08475496302997688,0.0036771994498298976,0.07359294093170247,0.0959169851282513,Anytime-valid (CS)
creasonEthnic persecution,0.15449333865580914,0.0033908150070547445,0.1442006274345953,0.16478604987702297,Anytime-valid (CS)
creasonPolitical persecution,0.14202919759170007,0.0033965726533526255,0.1317190092180805,0.15233938596531965,Anytime-valid (CS)
creasonReligious persecution,0.1462098745664057,0.003425256897777291,0.13581261608018852,0.15660713305262286,Anytime-valid (CS)
creligionChristian,0.03900450732136834,0.002841553587138064,0.030379061689222067,0.04762995295351462,Anytime-valid (CS)
creligionMuslim,-0.06806158235889287,0.002873884517766354,-0.0767851675037456,-0.059337997214040136,Anytime-valid (CS)
clangFluent,0.05922216206524231,0.0028263595913182336,0.05064283732466472,0.0678014868058199,Anytime-valid (CS)
clangNone,-0.05983056982272109,0.0028176923043976326,-0.06838358528922754,-0.051277554356214644,Anytime-valid (CS)
