G,term,estimate,std.error,statistic,p.value,e_value,conf.low,conf.high
5,cconsistMinor inconsistencies,0.02613153452857806,0.17338206219400518,0.15071648241983812,1,0.9988944945634657,-Inf,Inf
5,cconsistNo inconsistencies,0.12502624824856756,0.07969591201690256,1.5687912351395261,0.9989724759883329,1.001028580903243,-Inf,Inf
5,cgenderMale,0.07468356799666405,0.2223626584270218,0.33586380251509174,1,0.9990181856029828,-Inf,Inf
5,coriginEritrea,0.31401886835540327,0.21750271454120323,1.4437468930803445,0.9991903426163089,1.000810313459967,-Inf,Inf
5,coriginIraq,0.0960528655072948,0.2749843876082786,0.3493029780444272,1,0.9990305247922249,-Inf,Inf
5,coriginKosovo,-0.8367911857676918,0.2361572679388125,-3.543364102537388,0.9968283973014221,1.0031816937671156,-Inf,Inf
5,coriginPakistan,-0.6988859777264296,0.17451331378809654,-4.004771685070714,0.9965900418892089,1.003421625711137,-Inf,Inf
5,coriginSyria,-0.0071558142924512645,0.29383322851714394,-0.024353318814770306,1,0.998863272286602,-Inf,Inf
5,coriginUkraine,0.41800619692846414,0.18326966019798588,2.280825950552278,0.997924682456563,1.0020796334432056,-Inf,Inf
5,cage38 Years,0.08304700599137071,0.19610508932354817,0.42348215580654225,1,0.9991061237646395,-Inf,Inf
5,cage62 Years,-0.28848519190734967,0.11817338284547609,-2.4412027900104536,0.9977369511905174,1.0022681818156403,-Inf,Inf
5,cjobCleaner,-0.03299288029436776,0.17249157531286652,-0.1912724156789978,1,0.9989138955993582,-Inf,Inf
5,cjobDoctor,0.062185236528877724,0.49426596116653965,0.12581330986684075,1,0.9988848121154986,-Inf,Inf
5,cjobFarmer,0.8654906155693662,0.25545948325130824,3.3879760678836885,0.996923833267185,1.00308565873356,-Inf,Inf
5,cjobTeacher,0.3634295256716381,0.4420928907384902,0.8220659804425954,1,0.999683565340383,-Inf,Inf
5,cjobUnemployed,0.055671323621926797,0.48184301617129177,0.11553830138348635,1,0.9988813172591936,-Inf,Inf
5,cvulnerNo surviving family,-0.5494488965989208,0.28307695641070857,-1.9409877213804028,0.9983808038245651,1.001621822223777,-Inf,Inf
5,cvulnerNone,-0.3848446871709566,0.22313354108991446,-1.7247280946250865,0.9987133957388925,1.001288261744157,-Inf,Inf
5,cvulnerPTSD,-0.04980619600931402,0.15652964778000264,-0.3181901749329623,1,0.9990026172705262,-Inf,Inf
5,cvulnerVictim of torture,0.40364982263171767,0.22417754410192703,1.8005809825813321,0.998593061846833,1.0014089204170564,-Inf,Inf
5,creasonEthnic persecution,0.3807358262704268,0.22278515347149483,1.7089820409381167,0.9987388577130869,1.001262734775135,-Inf,Inf
5,creasonPolitical persecution,0.7287584286947597,0.15808726844813195,4.6098489514597665,0.9963561836153324,1.0036571423398466,-Inf,Inf
5,creasonReligious persecution,0.9830212309119272,0.2182480346373064,4.504147002036249,0.9963918410692062,1.0036212248857055,-Inf,Inf
5,creligionChristian,0.25584211695272124,0.24215831895726195,1.0565076519129386,0.9998976968447308,1.0001023136222755,-Inf,Inf
5,creligionMuslim,0.034863613591918544,0.18195059076785677,0.19161033467816319,1,0.9989140759568381,-Inf,Inf
5,clangFluent,0.09753941399674837,0.148514848996738,0.6567653985824053,1,0.9994153477663424,-Inf,Inf
5,clangNone,0.3816299517590765,0.16287626425007254,2.343066704754106,0.9978498076906055,1.002154825598825,-Inf,Inf
105,cconsistMinor inconsistencies,0.09535161481503657,0.03453600543574657,2.7609335130675725,0.8688088048810548,1.1510012264860805,-Inf,Inf
105,cconsistNo inconsistencies,0.035238461992890255,0.03898944716447284,0.9037948613182574,1,0.9953262385269077,-Inf,Inf
105,cgenderMale,-0.07190399008509953,0.029296870115048983,-2.4543232708044282,0.8975640952938848,1.1141265623738827,-Inf,Inf
105,coriginEritrea,8.569571566565549e-4,0.05790295290343733,0.01479988694334245,1,0.9769012189343496,-Inf,Inf
105,coriginIraq,-0.08149698886946408,0.05947103967690329,-1.3703642867557768,0.9810105242828213,1.0193570560632477,-Inf,Inf
105,coriginKosovo,-0.0465870165498156,0.05790336876634427,-0.8045648732080993,1,0.9914963282049268,-Inf,Inf
105,coriginPakistan,-0.11733489769336694,0.05206078336253282,-2.253805842226544,0.9153869385002201,1.0924342023477098,-Inf,Inf
105,coriginSyria,-0.01984875199265419,0.05786822311259287,-0.3429991612846817,1,0.9795468289088558,-Inf,Inf
105,coriginUkraine,0.03101791812066314,0.061489417811055255,0.5044431907938213,1,0.9826308325061891,-Inf,Inf
105,cage38 Years,0.0014517803542222535,0.03923430711480414,0.03700282892658651,1,0.9769271251897395,-Inf,Inf
105,cage62 Years,-0.07680281305691375,0.04001494821544658,-1.9193530538486692,0.9429693697109571,1.0604798333020342,-Inf,Inf
105,cjobCleaner,-0.06974872603007301,0.05746348245848496,-1.2137921867242147,0.9899209167923371,1.0101817054642328,-Inf,Inf
105,cjobDoctor,0.047622109853698844,0.05368933990392917,0.8869937670851061,1,0.9946462969472316,-Inf,Inf
105,cjobFarmer,-0.01633857395304453,0.04888620464531375,-0.3342164537334512,1,0.9794127973187284,-Inf,Inf
105,cjobTeacher,-0.07146684668531733,0.04957221164111926,-1.4416715397470155,0.976648808642897,1.023909506826257,-Inf,Inf
105,cjobUnemployed,-0.030924846609042926,0.05296480944948653,-0.5838753491322667,1,0.98458040292608,-Inf,Inf
105,cvulnerNo surviving family,0.03951047745371281,0.0531505340973815,0.7433693400205987,1,0.9893573634820498,-Inf,Inf
105,cvulnerNone,-0.051470137374324404,0.052290815683814114,-0.9843054980352173,1,0.9987628316356234,-Inf,Inf
105,cvulnerPTSD,-0.031623633635521495,0.04944375226953356,-0.6395880608561229,1,0.986118104763176,-Inf,Inf
105,cvulnerVictim of torture,0.07351577356020339,0.05581939394060519,1.3170292324998742,0.9841502123558405,1.0161050492548476,-Inf,Inf
105,creasonEthnic persecution,0.2500381813747891,0.0451060275457405,5.54334298495326,0.5907310154386646,1.6928178373323106,-Inf,Inf
105,creasonPolitical persecution,0.18263156554009052,0.04374793687752973,4.174632647280235,0.7247667771340773,1.3797541934169069,-Inf,Inf
105,creasonReligious persecution,0.18049163994606315,0.046615184847988655,3.871949463134028,0.7560794107565986,1.322612394641607,-Inf,Inf
