resp_id,task_id,alt_id,canon,sony,nikon,panasonic,pixels,zoom,video,swivel,wifi,price,chosen
1,1,1,0,0,1,0,0,1,0,1,0,0.79,1
1,1,2,1,0,0,0,1,1,0,1,1,2.29,0
1,1,3,0,0,0,1,0,0,0,0,1,1.29,0
1,1,4,0,1,0,0,0,1,0,1,0,2.79,0
1,1,5,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,1,1,0,0,1,0,2.79,0
1,2,2,1,0,0,0,1,0,1,0,1,0.79,1
1,2,3,0,1,0,0,1,0,1,0,1,1.79,0
1,2,4,0,0,1,0,1,0,1,1,1,1.29,0
1,2,5,0,0,0,0,0,0,0,0,0,0,0
1,3,1,0,0,1,0,0,0,0,0,1,2.29,0
1,3,2,1,0,0,0,1,1,0,1,1,0.79,1
1,3,3,0,1,0,0,1,0,0,1,1,1.79,0
1,3,4,0,1,0,0,1,1,1,0,1,1.29,0
1,3,5,0,0,0,0,0,0,0,0,0,0,0
1,4,1,0,0,1,0,1,1,0,1,1,1.79,0
1,4,2,0,1,0,0,0,0,1,0,0,2.79,0
1,4,3,0,0,0,1,0,1,0,1,0,2.29,0
1,4,4,0,0,0,1,0,0,1,1,1,1.29,1
1,4,5,0,0,0,0,0,0,0,0,0,0,0
1,5,1,1,0,0,0,0,1,0,0,1,1.79,0
1,5,2,1,0,0,0,0,0,1,1,0,0.79,1
1,5,3,0,1,0,0,1,1,0,0,0,1.29,0
1,5,4,0,0,0,1,1,1,0,1,0,2.29,0
1,5,5,0,0,0,0,0,0,0,0,0,0,0
1,6,1,0,0,0,1,0,1,1,0,1,2.79,0
1,6,2,0,0,1,0,1,0,1,0,1,1.79,1
1,6,3,1,0,0,0,0,1,1,0,0,1.29,0
1,6,4,0,1,0,0,1,1,1,1,1,2.29,0
1,6,5,0,0,0,0,0,0,0,0,0,0,0
1,7,1,0,0,0,1,1,0,0,1,1,0.79,1
1,7,2,0,0,1,0,0,0,1,1,0,1.79,0
1,7,3,1,0,0,0,1,0,1,1,0,2.79,0
1,7,4,0,1,0,0,1,1,0,1,0,2.29,0
1,7,5,0,0,0,0,0,0,0,0,0,0,0
1,8,1,0,0,0,1,1,0,1,1,1,1.79,1
1,8,2,0,1,0,0,0,1,0,0,0,2.29,0
1,8,3,0,0,1,0,0,0,1,0,0,1.29,0
1,8,4,0,0,1,0,0,1,0,1,1,2.79,0
1,8,5,0,0,0,0,0,0,0,0,0,0,0
1,9,1,0,1,0,0,0,0,1,1,1,0.79,1
1,9,2,1,0,0,0,0,1,0,0,1,2.79,0
1,9,3,0,0,1,0,0,1,0,1,1,1.29,0
1,9,4,0,0,0,1,0,1,0,0,1,1.79,0
1,9,5,0,0,0,0,0,0,0,0,0,0,0
1,10,1,1,0,0,0,0,1,0,1,0,1.79,0
1,10,2,0,0,1,0,0,0,1,0,1,0.79,1
1,10,3,0,0,0,1,1,1,0,0,1,2.29,0
1,10,4,0,1,0,0,0,0,0,1,0,1.29,0
1,10,5,0,0,0,0,0,0,0,0,0,0,0
1,11,1,0,0,1,0,1,0,1,0,0,2.79,0
1,11,2,1,0,0,0,1,1,1,0,1,2.29,0
1,11,3,0,0,0,1,1,1,0,0,1,0.79,1
1,11,4,0,0,0,1,1,0,1,1,0,1.79,0
1,11,5,0,0,0,0,0,0,0,0,0,0,0
1,12,1,1,0,0,0,0,1,0,1,0,0.79,0
1,12,2,0,0,0,1,1,1,0,1,0,1.29,1
1,12,3,0,0,1,0,1,0,1,0,0,2.79,0
1,12,4,0,1,0,0,1,1,1,0,0,1.79,0
1,12,5,0,0,0,0,0,0,0,0,0,0,0
