term,estimate,std.error,conf.low,conf.high,method
canon,0.1510064569965879,0.029403458637502194,0.09316524340574862,0.2088476705874272,Conventional (fixed-n)
sony,0.11500624336173289,0.029758946288269313,0.056465729821509374,0.1735467569019564,Conventional (fixed-n)
nikon,0.12569153805232045,0.029583690286074552,0.06749578054848697,0.1838872955561539,Conventional (fixed-n)
panasonic,0.09101176557349154,0.02951666281078044,0.03294786162344363,0.14907566952353946,Conventional (fixed-n)
pixels,0.07781414244503286,0.007790250208102483,0.0624894987774941,0.09313878611257162,Conventional (fixed-n)
zoom,0.09457613409812896,0.007135362605368366,0.08053975703128947,0.10861251116496844,Conventional (fixed-n)
video,0.0771860005763662,0.0064516540142156706,0.0644945855135651,0.08987741563916729,Conventional (fixed-n)
swivel,0.04271608849972341,0.007052350825984863,0.02884300861914598,0.056589168380300835,Conventional (fixed-n)
wifi,0.06543342391872348,0.006728354171093346,0.05219769626086707,0.07866915157657989,Conventional (fixed-n)
price,-0.2025148751989835,0.0076875934797434545,-0.217637576985305,-0.187392173412662,Conventional (fixed-n)
canon,0.1510064569965879,0.029403458637502194,0.06120739006157823,0.2408055239315976,Anytime-valid (CS)
sony,0.11500624336173289,0.029758946288269313,0.024121506208829496,0.20589098051463628,Anytime-valid (CS)
nikon,0.12569153805232045,0.029583690286074552,0.03534203811983633,0.21604103798480456,Anytime-valid (CS)
panasonic,0.09101176557349154,0.02951666281078044,8.669696118778353e-4,0.18115656153510523,Anytime-valid (CS)
pixels,0.07781414244503286,0.007790250208102483,0.05402247873287254,0.10160580615719318,Anytime-valid (CS)
zoom,0.09457613409812896,0.007135362605368366,0.07278451726473353,0.11636775093152438,Anytime-valid (CS)
video,0.0771860005763662,0.0064516540142156706,0.05748245080670915,0.09688955034602324,Anytime-valid (CS)
swivel,0.04271608849972341,0.007052350825984863,0.02117799219345896,0.06425418480598785,Anytime-valid (CS)
wifi,0.06543342391872348,0.006728354171093346,0.04488482336049373,0.08598202447695322,Anytime-valid (CS)
price,-0.2025148751989835,0.0076875934797434545,-0.22599302210569278,-0.17903672829227424,Anytime-valid (CS)
