responseid,resp_order,contest,winner,orig_1ys,orig_3ys,orig_8ys,orig_FM_sp,orig_MD_sp,orig_law,orig_may,orig_leg,orig_1ch,orig_3ch,orig_45,orig_65,orig_cand_female
2usa voter,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1
2usa voter,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1
2usa voter,1,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0
2usa voter,1,2,1,0,1,0,0,1,0,1,0,0,1,1,0,0
2usa voter,1,3,1,0,0,0,0,1,0,0,1,1,0,0,1,1
2usa voter,1,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0
3usa voter,2,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0
3usa voter,2,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1
3usa voter,2,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0
3usa voter,2,2,0,1,0,0,0,0,0,0,1,1,0,0,0,1
3usa voter,2,3,0,1,0,0,0,0,1,0,0,0,1,0,1,1
3usa voter,2,3,1,1,0,0,0,1,0,0,0,0,0,1,0,1
4usa voter,3,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
4usa voter,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
4usa voter,3,2,1,0,1,0,0,1,0,0,0,0,1,0,1,0
4usa voter,3,2,0,0,0,1,1,0,0,0,0,0,1,0,1,1
4usa voter,3,3,0,1,0,0,1,0,0,0,1,0,1,1,0,1
4usa voter,3,3,1,1,0,0,0,0,1,0,0,0,1,0,0,1
5usa voter,4,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
5usa voter,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
5usa voter,4,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0
5usa voter,4,2,1,0,0,1,0,1,0,0,1,1,0,1,0,0
5usa voter,4,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0
5usa voter,4,3,1,1,0,0,0,1,0,1,0,1,0,1,0,0
6usa voter,5,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1
6usa voter,5,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1
6usa voter,5,2,0,0,0,1,0,0,1,0,0,0,0,1,0,1
6usa voter,5,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0
6usa voter,5,3,1,0,0,0,0,0,0,0,1,0,1,1,0,1
6usa voter,5,3,0,0,1,0,0,1,0,1,0,1,0,0,0,1
7usa voter,6,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
7usa voter,6,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
7usa voter,6,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0
7usa voter,6,2,1,0,1,0,0,1,0,0,1,1,0,1,0,1
7usa voter,6,3,1,0,1,0,0,1,0,0,0,0,1,1,0,0
7usa voter,6,3,0,0,1,0,1,0,0,1,0,0,0,0,1,1
8usa voter,7,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1
8usa voter,7,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0
8usa voter,7,2,1,0,0,1,1,0,1,0,0,1,0,1,0,1
8usa voter,7,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1
8usa voter,7,3,0,1,0,0,0,0,0,1,0,1,0,0,0,1
8usa voter,7,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0
9usa voter,8,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0
9usa voter,8,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1
9usa voter,8,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0
9usa voter,8,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0
9usa voter,8,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0
9usa voter,8,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0
10usa voter,9,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1
10usa voter,9,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0
10usa voter,9,2,0,0,0,1,1,0,0,1,0,0,1,1,0,1
10usa voter,9,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0
10usa voter,9,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0
10usa voter,9,3,1,0,0,0,1,0,0,0,1,0,0,0,0,1
11usa voter,10,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1
11usa voter,10,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
11usa voter,10,2,1,0,0,1,0,1,0,0,1,0,0,0,1,1
11usa voter,10,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0
11usa voter,10,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0
11usa voter,10,3,1,0,1,0,0,0,1,0,0,0,1,0,1,1
12usa voter,11,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
12usa voter,11,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
12usa voter,11,2,1,0,0,0,0,1,0,0,1,1,0,1,0,0
12usa voter,11,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1
12usa voter,11,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0
12usa voter,11,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13usa voter,12,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
13usa voter,12,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
13usa voter,12,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13usa voter,12,2,1,0,0,1,0,1,1,0,0,0,1,1,0,0
13usa voter,12,3,0,1,0,0,0,1,0,1,0,1,0,0,0,1
13usa voter,12,3,1,0,0,0,1,0,0,1,0,1,0,1,0,0
14usa voter,13,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1
14usa voter,13,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
14usa voter,13,2,1,0,0,0,1,0,0,1,0,0,1,0,1,1
14usa voter,13,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1
14usa voter,13,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1
14usa voter,13,3,1,1,0,0,0,1,0,0,1,0,0,0,1,0
15usa voter,14,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
15usa voter,14,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1
15usa voter,14,2,1,1,0,0,0,1,1,0,0,0,1,0,1,1
15usa voter,14,2,0,1,0,0,0,1,0,0,1,0,1,0,1,0
15usa voter,14,3,0,1,0,0,1,0,0,1,0,1,0,1,0,0
15usa voter,14,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0
16usa voter,15,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1
16usa voter,15,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0
16usa voter,15,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0
16usa voter,15,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0
16usa voter,15,3,1,0,0,1,0,0,0,1,0,1,0,0,0,0
16usa voter,15,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17usa voter,16,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0
17usa voter,16,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
17usa voter,16,2,0,0,0,1,1,0,1,0,0,0,1,0,0,1
17usa voter,16,2,1,1,0,0,0,1,0,0,1,0,1,0,1,1
17usa voter,16,3,1,1,0,0,0,1,0,1,0,0,1,0,1,1
17usa voter,16,3,0,1,0,0,0,1,0,0,1,0,1,1,0,0
18usa voter,17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
18usa voter,17,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0
18usa voter,17,2,0,0,0,0,0,1,0,0,0,0,1,1,0,1
18usa voter,17,2,1,1,0,0,0,1,0,0,1,1,0,1,0,0
18usa voter,17,3,0,0,0,1,1,0,0,0,0,0,1,0,1,0
18usa voter,17,3,1,0,1,0,1,0,0,1,0,0,1,0,0,0
19usa voter,18,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0
19usa voter,18,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
19usa voter,18,2,1,1,0,0,1,0,0,1,0,0,0,0,1,1
19usa voter,18,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1
19usa voter,18,3,1,0,0,0,0,0,1,0,0,0,1,1,0,0
19usa voter,18,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1
20usa voter,19,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
20usa voter,19,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1
20usa voter,19,2,0,0,0,0,0,1,1,0,0,0,1,0,0,1
20usa voter,19,2,1,0,0,1,1,0,1,0,0,1,0,0,0,1
20usa voter,19,3,1,0,0,1,1,0,1,0,0,0,1,1,0,0
20usa voter,19,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0
21usa voter,20,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0
21usa voter,20,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1
21usa voter,20,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1
21usa voter,20,2,1,1,0,0,0,0,0,1,0,0,0,0,1,1
21usa voter,20,3,1,0,1,0,0,1,0,0,1,0,0,0,1,0
21usa voter,20,3,0,0,1,0,0,1,0,0,1,0,0,0,1,0
23usa voter,21,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1
23usa voter,21,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
23usa voter,21,2,1,1,0,0,0,1,0,1,0,0,1,1,0,1
23usa voter,21,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0
23usa voter,21,3,0,0,0,0,0,1,1,0,0,0,1,1,0,1
23usa voter,21,3,1,1,0,0,0,0,0,0,1,0,1,0,0,0
24usa voter,22,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1
24usa voter,22,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0
24usa voter,22,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
