responseid	dv	contest	winner	sample	female_respondent	orig_cand_female	orig_cand_gender_string	orig_0ys	orig_1ys	orig_3ys	orig_8ys	orig_UN_sp	orig_FM_sp	orig_MD_sp	orig_teach	orig_law	orig_may	orig_leg	orig_0ch	orig_1ch	orig_3ch	orig_29	orig_45	orig_65	democrat_respondent	republican_respondent	replication	first_orig
"2usa voter"	2.0	1.0	1.0	"usa voter"	1.0	1.0	"Female"	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0.0	1.0	0.0	
"2usa voter"	2.0	1.0	0.0	"usa voter"	1.0	1.0	"Female"	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0.0	1.0	0.0	
"2usa voter"	2.0	2.0	0.0	"usa voter"	1.0	0.0	"Male"	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0.0	1.0	0.0	
"2usa voter"	2.0	2.0	1.0	"usa voter"	1.0	0.0	"Male"	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0.0	1.0	0.0	
"2usa voter"	2.0	3.0	1.0	"usa voter"	1.0	1.0	"Female"	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0.0	1.0	0.0	
"2usa voter"	2.0	3.0	0.0	"usa voter"	1.0	0.0	"Male"	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0.0	1.0	0.0	
"3usa voter"	3.0	1.0	0.0	"usa voter"	1.0	0.0	"Male"	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0.0	1.0	0.0	
"3usa voter"	3.0	1.0	1.0	"usa voter"	1.0	1.0	"Female"	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0.0	1.0	0.0	
"3usa voter"	3.0	2.0	1.0	"usa voter"	1.0	0.0	"Male"	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0.0	1.0	0.0	
"3usa voter"	3.0	2.0	0.0	"usa voter"	1.0	1.0	"Female"	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0.0	1.0	0.0	
"3usa voter"	3.0	3.0	0.0	"usa voter"	1.0	1.0	"Female"	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0.0	1.0	0.0	
"3usa voter"	3.0	3.0	1.0	"usa voter"	1.0	1.0	"Female"	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0.0	1.0	0.0	
"4usa voter"	1.0	1.0	1.0	"usa voter"	0.0	0.0	"Male"	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1.0	0.0	0.0	
"4usa voter"	1.0	1.0	0.0	"usa voter"	0.0	0.0	"Male"	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1.0	0.0	0.0	
"4usa voter"	1.0	2.0	1.0	"usa voter"	0.0	0.0	"Male"	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1.0	0.0	0.0	
"4usa voter"	1.0	2.0	0.0	"usa voter"	0.0	1.0	"Female"	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1.0	0.0	0.0	
"4usa voter"	1.0	3.0	0.0	"usa voter"	0.0	1.0	"Female"	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1.0	0.0	0.0	
"4usa voter"	1.0	3.0	1.0	"usa voter"	0.0	1.0	"Female"	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1.0	0.0	0.0	
"5usa voter"	2.0	1.0	0.0	"usa voter"	0.0	0.0	"Male"	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0.0	1.0	0.0	
"5usa voter"	2.0	1.0	1.0	"usa voter"	0.0	0.0	"Male"	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0.0	1.0	0.0	
"5usa voter"	2.0	2.0	0.0	"usa voter"	0.0	0.0	"Male"	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0.0	1.0	0.0	
"5usa voter"	2.0	2.0	1.0	"usa voter"	0.0	0.0	"Male"	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0.0	1.0	0.0	
"5usa voter"	2.0	3.0	0.0	"usa voter"	0.0	0.0	"Male"	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0.0	1.0	0.0	
"5usa voter"	2.0	3.0	1.0	"usa voter"	0.0	0.0	"Male"	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0.0	1.0	0.0	
