Test,Method,i,p_false_positive,p_fp_se,p_false_positive_upper,p_false_positive_lower
Single region coefficient,Anytime-valid,100,0,0,0,0
Single region coefficient,Conventional,100,0.061,0.007572076091557421,0.07584126913945255,0.046158730860547455
Single region coefficient,Anytime-valid,200,0,0,0,0
Single region coefficient,Conventional,200,0.103,0.009616833339695801,0.12184899334580376,0.08415100665419623
Single region coefficient,Anytime-valid,300,0,0,0,0
Single region coefficient,Conventional,300,0.121,0.01031821038094612,0.14122369234665438,0.10077630765334561
Single region coefficient,Anytime-valid,400,0,0,0,0
Single region coefficient,Conventional,400,0.146,0.0111717862854965,0.16789670111957314,0.12410329888042686
Single region coefficient,Anytime-valid,500,0,0,0,0
Single region coefficient,Conventional,500,0.156,0.011480235006122377,0.17850126061199986,0.13349873938800014
Single region coefficient,Anytime-valid,600,0.001,0.0010000000000000007,0.0029600000000000013,-9.600000000000012e-4
Single region coefficient,Conventional,600,0.17,0.01188449583454165,0.19329361183570165,0.14670638816429837
Single region coefficient,Anytime-valid,700,0.002,0.0014135055705578232,0.0047704709182933335,-7.704709182933334e-4
Single region coefficient,Conventional,700,0.182,0.012207580637662146,0.2059268580498178,0.15807314195018218
Single region coefficient,Anytime-valid,800,0.004,0.00199699473909873,0.00791410968863351,8.589031136648981e-5
Single region coefficient,Conventional,800,0.191,0.01243678711217948,0.2153761027398718,0.16662389726012822
Single region coefficient,Anytime-valid,900,0.004,0.00199699473909873,0.00791410968863351,8.589031136648981e-5
Single region coefficient,Conventional,900,0.197,0.012583693787968121,0.2216640398244175,0.1723359601755825
Single region coefficient,Anytime-valid,1000,0.004,0.00199699473909873,0.00791410968863351,8.589031136648981e-5
Single region coefficient,Conventional,1000,0.204,0.012749374359024398,0.2289887737436878,0.17901122625631216
Single region coefficient,Anytime-valid,1100,0.008,0.002818500300504508,0.013524260588988837,0.0024757394110111646
Single region coefficient,Conventional,1100,0.215,0.012997843819031832,0.2404757738853024,0.1895242261146976
Single region coefficient,Anytime-valid,1200,0.008,0.002818500300504508,0.013524260588988837,0.0024757394110111646
Single region coefficient,Conventional,1200,0.215,0.012997843819031832,0.2404757738853024,0.1895242261146976
Single region coefficient,Anytime-valid,1300,0.008,0.002818500300504508,0.013524260588988837,0.0024757394110111646
Single region coefficient,Conventional,1300,0.228,0.01327374070080449,0.2540165317735768,0.2019834682264232
Single region coefficient,Anytime-valid,1400,0.008,0.002818500300504508,0.013524260588988837,0.0024757394110111646
Single region coefficient,Conventional,1400,0.232,0.013354937452281569,0.2581756774064719,0.20582432259352815
Single region coefficient,Anytime-valid,1500,0.008,0.002818500300504508,0.013524260588988837,0.0024757394110111646
Single region coefficient,Conventional,1500,0.239,0.013493000446937586,0.26544628087599764,0.21255371912400234
Single region coefficient,Anytime-valid,1600,0.008,0.002818500300504508,0.013524260588988837,0.0024757394110111646
Single region coefficient,Conventional,1600,0.243,0.013569640199177445,0.2695964947903878,0.2164035052096122
Single region coefficient,Anytime-valid,1700,0.01,0.0031480009386767563,0.016170081839806442,0.003829918160193558
Single region coefficient,Conventional,1700,0.248,0.01366318713487765,0.2747798467843602,0.22122015321563981
Single region coefficient,Anytime-valid,1800,0.01,0.0031480009386767563,0.016170081839806442,0.003829918160193558
Single region coefficient,Conventional,1800,0.249,0.0136816002787023,0.2758159365462565,0.2221840634537435
Single region coefficient,Anytime-valid,1900,0.012,0.0034449771940998175,0.01875215530043564,0.0052478446995643585
Single region coefficient,Conventional,1900,0.253,0.01375427861358708,0.2799583860826307,0.22604161391736932
Single region coefficient,Anytime-valid,2000,0.013,0.0035838308894036255,0.020024308543231104,0.0059756914567688935
Single region coefficient,Conventional,2000,0.256,0.013807775152234188,0.283063239298379,0.228936760701621
Single region coefficient,Anytime-valid,2100,0.013,0.0035838308894036255,0.020024308543231104,0.0059756914567688935
Single region coefficient,Conventional,2100,0.26,0.013877773329774164,0.2872004357263574,0.23279956427364265
Single region coefficient,Anytime-valid,2200,0.013,0.0035838308894036255,0.020024308543231104,0.0059756914567688935
Single region coefficient,Conventional,2200,0.264,0.013946271849440467,0.2913346928249033,0.2366653071750967
Single region coefficient,Anytime-valid,2300,0.013,0.0035838308894036255,0.020024308543231104,0.0059756914567688935
Single region coefficient,Conventional,2300,0.266,0.013979965645145153,0.2934007326644845,0.2385992673355155
Single region coefficient,Anytime-valid,2400,0.013,0.0035838308894036255,0.020024308543231104,0.0059756914567688935
Single region coefficient,Conventional,2400,0.271,0.014062601350986186,0.29856269864793294,0.2434373013520671
Single region coefficient,Anytime-valid,2500,0.013,0.0035838308894036255,0.020024308543231104,0.0059756914567688935
Single region coefficient,Conventional,2500,0.273,0.01409502286871759,0.3006262448226865,0.24537375517731355
Joint region coefficients,Anytime-valid,100,0,0,0,0
Joint region coefficients,Conventional,100,0.046,0.006627814717380717,0.0589905168460662,0.033009483153933795
Joint region coefficients,Anytime-valid,200,0,0,0,0
Joint region coefficients,Conventional,200,0.08,0.008583336977753656,0.09682334047639717,0.06317665952360284
Joint region coefficients,Anytime-valid,300,0,0,0,0
Joint region coefficients,Conventional,300,0.101,0.009533618929340999,0.11968589310150836,0.08231410689849165
Joint region coefficients,Anytime-valid,400,0,0,0,0
Joint region coefficients,Conventional,400,0.123,0.010391293421849872,0.14336693510682574,0.10263306489317425
Joint region coefficients,Anytime-valid,500,0,0,0,0
Joint region coefficients,Conventional,500,0.14,0.010978183844357801,0.1615172403349413,0.11848275966505872
Joint region coefficients,Anytime-valid,600,0,0,0,0
Joint region coefficients,Conventional,600,0.151,0.011328165223341678,0.17320320383774968,0.12879679616225032
Joint region coefficients,Anytime-valid,700,0.001,0.0010000000000000098,0.002960000000000019,-9.60000000000019e-4
Joint region coefficients,Conventional,700,0.163,0.01168621271274684,0.18590497691698382,0.1400950230830162
Joint region coefficients,Anytime-valid,800,0.002,0.0014135055705578165,0.0047704709182933205,-7.704709182933204e-4
Joint region coefficients,Conventional,800,0.175,0.012021627157731973,0.19856238922915465,0.15143761077084533
Joint region coefficients,Anytime-valid,900,0.003,0.0017303161543469378,0.006391419662519998,-3.914196625199977e-4
Joint region coefficients,Conventional,900,0.181,0.012181436179177914,0.20487561491118872,0.15712438508881127
Joint region coefficients,Anytime-valid,1000,0.003,0.0017303161543469378,0.006391419662519998,-3.914196625199977e-4
Joint region coefficients,Conventional,1000,0.194,0.01251081614126437,0.21852119963687816,0.16947880036312185
Joint region coefficients,Anytime-valid,1100,0.003,0.0017303161543469378,0.006391419662519998,-3.914196625199977e-4
Joint region coefficients,Conventional,1100,0.201,0.012679107214617328,0.22585105014064996,0.17614894985935006
Joint region coefficients,Anytime-valid,1200,0.005,0.0022315868748448825,0.00937391027469597,6.260897253040302e-4
Joint region coefficients,Conventional,1200,0.208,0.012841374572096921,0.23316909416130996,0.18283090583869002
Joint region coefficients,Anytime-valid,1300,0.005,0.0022315868748448825,0.00937391027469597,6.260897253040302e-4
Joint region coefficients,Conventional,1300,0.211,0.012909130321042092,0.2363018954292425,0.1856981045707575
Joint region coefficients,Anytime-valid,1400,0.006,0.002443352199329835,0.010788970310686477,0.0012110296893135235
Joint region coefficients,Conventional,1400,0.217,0.01304151375727071,0.2425613669642506,0.1914386330357494
Joint region coefficients,Anytime-valid,1500,0.006,0.002443352199329835,0.010788970310686477,0.0012110296893135235
Joint region coefficients,Conventional,1500,0.219,0.013084731950262026,0.24464607462251356,0.19335392537748644
Joint region coefficients,Anytime-valid,1600,0.008,0.002818500300504507,0.013524260588988833,0.0024757394110111663
Joint region coefficients,Conventional,1600,0.225,0.013211720158614755,0.2508949715108849,0.1991050284891151
Joint region coefficients,Anytime-valid,1700,0.008,0.002818500300504507,0.013524260588988833,0.0024757394110111663
Joint region coefficients,Conventional,1700,0.229,0.013294199326613618,0.2550566306801627,0.2029433693198373
Joint region coefficients,Anytime-valid,1800,0.008,0.002818500300504507,0.013524260588988833,0.0024757394110111663
Joint region coefficients,Conventional,1800,0.234,0.01339490288966001,0.26025400966373363,0.2077459903362664
Joint region coefficients,Anytime-valid,1900,0.009,0.002987963843142663,0.014856409132559619,0.00314359086744038
Joint region coefficients,Conventional,1900,0.236,0.013434451402438674,0.2623315247487798,0.20966847525122018
Joint region coefficients,Anytime-valid,2000,0.009,0.002987963843142663,0.014856409132559619,0.00314359086744038
Joint region coefficients,Conventional,2000,0.244,0.013588548437881409,0.27063355493824753,0.21736644506175243
