Test,Method,G,p_false_positive,se,ci_low,ci_high,rho,lambda,calibration_G,n_sim
Scalar region null,Anytime-valid,5,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,5,0.1282,0.004727890861684521,0.11893333391109835,0.13746666608890168,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,6,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,6,0.152,0.005077322128839178,0.1420484486274752,0.1619515513725248,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,7,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,7,0.1694,0.005304783501708623,0.1590026243366511,0.17979737566334889,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,8,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,8,0.184,0.0054798540126539865,0.17325948613519818,0.19474051386480182,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,9,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,9,0.1986,0.0056419507264775,0.1875417765761041,0.2096582234238959,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,10,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,10,0.2094,0.005754157453528709,0.19812185139108374,0.22067814860891627,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,11,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,11,0.2174,0.00583330506659818,0.2059667220694676,0.22883327793053243,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,12,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,12,0.2248,0.005903642265584865,0.21322886115945366,0.23637113884054634,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,13,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,13,0.2322,0.005971317442574963,0.22049621781255307,0.2439037821874469,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,14,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,14,0.2392,0.006032965439980574,0.22737538773763807,0.25102461226236195,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,15,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,15,0.2444,0.006077312563954565,0.23248846737464907,0.25631153262535095,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,16,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,16,0.2514,0.006135112712901044,0.23937517908271397,0.2634248209172861,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,17,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,17,0.2554,0.006167184771028025,0.2433123178487851,0.26748768215121493,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,18,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,18,0.2606,0.0062078601788377935,0.24843259404947793,0.27276740595052207,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,19,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,19,0.2648,0.006239887178467252,0.25256982113020415,0.2770301788697958,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,20,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,20,0.2686,0.006268238029941109,0.2563142534613154,0.2808857465386846,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,21,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,21,0.2724,0.006296002541295548,0.2600598350190607,0.28474016498093924,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,22,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,22,0.2758,0.006320353787566009,0.2634121065763706,0.2881878934236294,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,23,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,23,0.2796,0.006347028281014667,0.2671598245692113,0.29204017543078875,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,24,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,24,0.2826,0.006367687806417648,0.27011933189942144,0.2950806681005786,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,25,0,0,0,0,0.995,303.8730841675049,2500,5000
