Test,Method,G,p_false_positive,se,ci_low,ci_high,rho,lambda,calibration_G,n_sim
Scalar region null,Anytime-valid,1,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,1,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,2,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,2,0.072,0.003655571090814676,0.06483508066200323,0.07916491933799676,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,3,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,3,0.1418,0.004933411801177761,0.1321305128696916,0.15146948713030842,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,4,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,4,0.2366,0.006010331771208641,0.22481974972843108,0.24838025027156893,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,5,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,5,0.2904,0.006419779435463496,0.2778172323064915,0.30298276769350846,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,6,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,6,0.3106,0.006544121637011341,0.29777352159145776,0.3234264784085422,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,7,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,7,0.3254,0.006625931481686179,0.3124131742958951,0.33838682570410494,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,8,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,8,0.3352,0.006675941281946689,0.3221151550873845,0.3482848449126155,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,9,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,9,0.3424,0.006710622027800404,0.3292471808255112,0.3555528191744888,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,10,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,10,0.3522,0.006755074536968485,0.3389600539075418,0.3654399460924582,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,11,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,11,0.36,0.006788225099390856,0.3466950788051939,0.37330492119480607,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,12,0,0,0,0,0.995,303.8730841675049,2500,5000
