term,estimate,std.error,statistic,conf.low,conf.high,method
Gendermale,-0.024978434761847804,0.007994758791836379,-3.1243512671519027,-0.04066148117186917,-0.009295388351826434,Conventional (fixed-n)
Education4th grade,0.03336799566691968,0.014993392753070243,2.22551334554261,0.003955967047596307,0.06278002428624305,Conventional (fixed-n)
Education8th grade,0.05760073446911972,0.015043171724336085,3.8290285801853976,0.028091056134910333,0.08711041280332911,Conventional (fixed-n)
Educationhigh school,0.11949209485890744,0.0151410135671102,7.891948206061451,0.08979048350945369,0.14919370620836117,Conventional (fixed-n)
Educationtwo-year college,0.15458845259569778,0.0158635822656336,9.744864054482429,0.12346940280583198,0.1857075023855636,Conventional (fixed-n)
Educationcollege degree,0.18094889825392044,0.01620731189170929,11.164645899514237,0.1491555657472641,0.21274223076057677,Conventional (fixed-n)
Educationgraduate degree,0.16944074148372804,0.01583257234653055,10.70203487943374,0.13838252279747987,0.2004989601699762,Conventional (fixed-n)
`Language Skills`broken English,-0.05682271724364511,0.011281884019886513,-5.036633699077568,-0.07895400541421882,-0.0346914290730714,Conventional (fixed-n)
`Language Skills`tried English but unable,-0.1273575850037987,0.011337804433826143,-11.233002451852984,-0.14959857034847332,-0.1051165996591241,Conventional (fixed-n)
`Language Skills`used interpreter,-0.1598084919552486,0.011570938524147527,-13.81119531676211,-0.1825068085157195,-0.1371101753947777,Conventional (fixed-n)
`Country of Origin`Germany,0.04764624263289795,0.016692480233434136,2.8543536949928567,0.014901171891472921,0.08039131337432298,Conventional (fixed-n)
`Country of Origin`France,0.026564520968014756,0.017353451593306046,1.5307917750646105,-0.007477154809593611,0.06060619674562312,Conventional (fixed-n)
`Country of Origin`Mexico,0.009818757624388155,0.017556174891240006,0.559276589873083,-0.024620593551899828,0.04425810880067614,Conventional (fixed-n)
`Country of Origin`Philippines,0.034102011272153426,0.01743804452487444,1.9556098290441184,-1.0560758219936572e-4,0.06830963012650622,Conventional (fixed-n)
`Country of Origin`Poland,0.03266681939385404,0.017666414361834616,1.8490916563366322,-0.0019887848025146593,0.06732242359022274,Conventional (fixed-n)
`Country of Origin`China,-0.020128815959688916,0.017870082241347184,-1.1263974999015702,-0.05518394850829356,0.014926316588915727,Conventional (fixed-n)
`Country of Origin`Sudan,-0.04470746439285685,0.018355732616500368,-2.4356131856414347,-0.08071528076481199,-0.008699648020901708,Conventional (fixed-n)
`Country of Origin`Somalia,-0.052328368442865696,0.01792126501727795,-2.919903722890976,-0.08748390450222235,-0.017172832383509036,Conventional (fixed-n)
`Country of Origin`Iraq,-0.10995231863657996,0.01896550295599856,-5.7974902585857,-0.1471563007444632,-0.07274833652869672,Conventional (fixed-n)
Jobwaiter,-0.008276292364520595,0.01664004764391621,-0.49737191513069384,-0.040918507878387425,0.02436592314934623,Conventional (fixed-n)
Jobchild care provider,0.01162632872161155,0.016290118761374952,0.7137043561142362,-0.02032944320490086,0.043582100648123956,Conventional (fixed-n)
Jobgardener,0.007635967241191845,0.01646763380266842,0.46369547274937034,-0.024668029904313424,0.03993996438669711,Conventional (fixed-n)
Jobfinancial analyst,0.044983650459493124,0.025212230346390457,1.7841995666969332,-0.004474324310971105,0.09444162522995736,Conventional (fixed-n)
Jobconstruction worker,0.036955316656974,0.016434964803486555,2.248578995991169,0.004715405176049542,0.06919522813789845,Conventional (fixed-n)
Jobteacher,0.06613098583075523,0.016560909067878826,3.993197810561102,0.03364401376989722,0.09861795789161323,Conventional (fixed-n)
Jobcomputer programmer,0.05941492887386423,0.024597797998738867,2.4154572241348777,0.011162265142161794,0.10766759260556666,Conventional (fixed-n)
Jobnurse,0.082403253740435,0.016183081240583003,5.091938458158935,0.05065745367797782,0.11414905380289218,Conventional (fixed-n)
Jobresearch scientist,0.10742805506990355,0.024190572464294083,4.440905862334187,0.05997423181886261,0.1548818783209445,Conventional (fixed-n)
Jobdoctor,0.136735154384634,0.02378887245578291,5.747861931614779,0.09006933237796075,0.18340097639130723,Conventional (fixed-n)
`Job Experience`1-2 years,0.06446368580395125,0.011058944442646516,5.8290993447223105,0.042769730619590406,0.08615764098831208,Conventional (fixed-n)
`Job Experience`3-5 years,0.10726960445870354,0.011557871995657446,9.281086042396659,0.08459692006276238,0.1299422888546447,Conventional (fixed-n)
`Job Experience`5+ years,0.11297561561981487,0.01138751442713177,9.921007463282802,0.09063711587197276,0.13531411536765697,Conventional (fixed-n)
`Job Plans`contract with employer,0.12465722284584259,0.01169334182748872,10.660530127734594,0.10171879188829946,0.1475956538033857,Conventional (fixed-n)
`Job Plans`interviews with employer,0.025633731372346584,0.01179929469216712,2.17247996944795,0.0024874562837556465,0.048780006460937525,Conventional (fixed-n)
`Job Plans`no plans to look for work,-0.15742319182826273,0.011752068270535425,-13.395360561591643,-0.1804768244517695,-0.13436955920475596,Conventional (fixed-n)
`Reason for Application`seek better job,-0.040396391480536496,0.008825759905631147,-4.577100659033583,-0.0577095845120833,-0.023083198448989695,Conventional (fixed-n)
`Reason for Application`escape persecution,0.04848964200783768,0.015302839120004031,3.168669658459097,0.018470582975165174,0.07850870104051019,Conventional (fixed-n)
`Prior Entry`once as tourist,0.055813648705055945,0.01251565761699879,4.459505877601648,0.03126210883123774,0.08036518857887415,Conventional (fixed-n)
`Prior Entry`many times as tourist,0.054191614816964856,0.012893053978338587,4.203163572262345,0.02889974933683706,0.07948348029709265,Conventional (fixed-n)
`Prior Entry`six months with family,0.07458860362950243,0.01260129726615206,5.919121028106565,0.04986906736865375,0.0993081398903511,Conventional (fixed-n)
`Prior Entry`once w/o authorization,-0.11042050988901396,0.013046462397404859,-8.463636081990954,-0.13601331144720843,-0.08482770833081948,Conventional (fixed-n)
Gendermale,-0.024978434761847804,0.007994758791836379,-3.1243512671519027,-0.049279254171474204,-6.776153522214008e-4,Anytime-valid (CS)
Education4th grade,0.03336799566691968,0.014993392753070243,2.22551334554261,-0.012205828274086353,0.0789418196079257,Anytime-valid (CS)
Education8th grade,0.05760073446911972,0.015043171724336085,3.8290285801853976,0.011875602674728113,0.10332586626351134,Anytime-valid (CS)
Educationhigh school,0.11949209485890744,0.0151410135671102,7.891948206061451,0.07346956360396091,0.16551462611385398,Anytime-valid (CS)
Educationtwo-year college,0.15458845259569778,0.0158635822656336,9.744864054482429,0.10636960599077525,0.20280729920062032,Anytime-valid (CS)
Educationcollege degree,0.18094889825392044,0.01620731189170929,11.164645899514237,0.13168525320210378,0.2302125433057371,Anytime-valid (CS)
Educationgraduate degree,0.16944074148372804,0.01583257234653055,10.70203487943374,0.12131615243724489,0.21756533053021118,Anytime-valid (CS)
`Language Skills`broken English,-0.05682271724364511,0.011281884019886513,-5.036633699077568,-0.09111506217937498,-0.022530372307915235,Anytime-valid (CS)
`Language Skills`tried English but unable,-0.1273575850037987,0.011337804433826143,-11.233002451852984,-0.16181990528410634,-0.09289526472349106,Anytime-valid (CS)
`Language Skills`used interpreter,-0.1598084919552486,0.011570938524147527,-13.81119531676211,-0.19497944517554094,-0.12463753873495627,Anytime-valid (CS)
`Country of Origin`Germany,0.04764624263289795,0.016692480233434136,2.8543536949928567,-0.003092117111694985,0.09838460237749089,Anytime-valid (CS)
`Country of Origin`France,0.026564520968014756,0.017353451593306046,1.5307917750646105,-0.026182923236710214,0.07931196517273972,Anytime-valid (CS)
`Country of Origin`Mexico,0.009818757624388155,0.017556174891240006,0.559276589873083,-0.04354488306374385,0.06318239831252016,Anytime-valid (CS)
`Country of Origin`Philippines,0.034102011272153426,0.01743804452487444,1.9556098290441184,-0.018902561084514477,0.08710658362882133,Anytime-valid (CS)
`Country of Origin`Poland,0.03266681939385404,0.017666414361834616,1.8490916563366322,-0.021031904507728752,0.08636554329543683,Anytime-valid (CS)
`Country of Origin`China,-0.020128815959688916,0.017870082241347184,-1.1263974999015702,-0.0744466074890068,0.034188975569628965,Anytime-valid (CS)
`Country of Origin`Sudan,-0.04470746439285685,0.018355732616500368,-2.4356131856414347,-0.10050143580078043,0.011086507015066735,Anytime-valid (CS)
`Country of Origin`Somalia,-0.052328368442865696,0.01792126501727795,-2.919903722890976,-0.10680173482155202,0.002144997935820625,Anytime-valid (CS)
`Country of Origin`Iraq,-0.10995231863657996,0.01896550295599856,-5.7974902585857,-0.16759974419957113,-0.05230489307358881,Anytime-valid (CS)
Jobwaiter,-0.008276292364520595,0.01664004764391621,-0.49737191513069384,-0.05885527833409042,0.04230269360504922,Anytime-valid (CS)
Jobchild care provider,0.01162632872161155,0.016290118761374952,0.7137043561142362,-0.037889015579427796,0.0611416730226509,Anytime-valid (CS)
Jobgardener,0.007635967241191845,0.01646763380266842,0.46369547274937034,-0.0424189506821774,0.05769088516456109,Anytime-valid (CS)
Jobfinancial analyst,0.044983650459493124,0.025212230346390457,1.7841995666969332,-0.03165128906953378,0.12161858998852003,Anytime-valid (CS)
Jobconstruction worker,0.036955316656974,0.016434964803486555,2.248578995991169,-0.013000300778402737,0.08691093409235073,Anytime-valid (CS)
Jobteacher,0.06613098583075523,0.016560909067878826,3.993197810561102,0.015792548987768593,0.11646942267374187,Anytime-valid (CS)
Jobcomputer programmer,0.05941492887386423,0.024597797998738867,2.4154572241348777,-0.01535238588892699,0.13418224363665546,Anytime-valid (CS)
Jobnurse,0.082403253740435,0.016183081240583003,5.091938458158935,0.03321326002601689,0.13159324745485312,Anytime-valid (CS)
Jobresearch scientist,0.10742805506990355,0.024190572464294083,4.440905862334187,0.03389854052462936,0.18095756961517773,Anytime-valid (CS)
Jobdoctor,0.136735154384634,0.02378887245578291,5.747861931614779,0.06442664470240123,0.20904366406686675,Anytime-valid (CS)
`Job Experience`1-2 years,0.06446368580395125,0.011058944442646516,5.8290993447223105,0.03084898662925417,0.09807838497864832,Anytime-valid (CS)
