CaseID,resp_seq,contest_no,profile,Chosen_Immigrant,Gender,Education,Language Skills,Country of Origin,Job,Job Experience,Job Plans,Reason for Application,Prior Entry
4,1,1,1,1,male,high school,tried English but unable,Iraq,nurse,5+ years,contract with employer,seek better job,once as tourist
4,1,1,2,0,female,no formal,used interpreter,France,child care provider,3-5 years,interviews with employer,seek better job,once w/o authorization
4,1,2,1,0,female,graduate degree,fluent English,Sudan,gardener,3-5 years,contract with employer,escape persecution,once as tourist
4,1,2,2,1,female,4th grade,fluent English,Germany,construction worker,5+ years,interviews with employer,reunite with family,never
4,1,3,1,1,female,high school,broken English,Philippines,nurse,5+ years,interviews with employer,seek better job,once w/o authorization
4,1,3,2,0,male,college degree,fluent English,Sudan,child care provider,none,contract with employer,seek better job,never
4,1,4,1,0,male,two-year college,used interpreter,Iraq,teacher,5+ years,will look for work,escape persecution,never
4,1,4,2,1,female,8th grade,fluent English,Poland,construction worker,1-2 years,interviews with employer,seek better job,once as tourist
4,1,5,1,1,female,two-year college,used interpreter,Philippines,teacher,3-5 years,interviews with employer,seek better job,once as tourist
4,1,5,2,0,male,no formal,used interpreter,Mexico,nurse,5+ years,no plans to look for work,seek better job,once as tourist
6,2,1,1,1,female,4th grade,fluent English,Sudan,teacher,none,will look for work,escape persecution,many times as tourist
6,2,1,2,0,female,no formal,broken English,Germany,janitor,1-2 years,no plans to look for work,reunite with family,once w/o authorization
6,2,2,1,0,female,4th grade,fluent English,Sudan,waiter,1-2 years,no plans to look for work,escape persecution,once as tourist
6,2,2,2,1,female,graduate degree,fluent English,Mexico,nurse,3-5 years,will look for work,seek better job,many times as tourist
6,2,3,1,0,female,graduate degree,used interpreter,Philippines,janitor,3-5 years,will look for work,seek better job,six months with family
6,2,3,2,1,female,high school,tried English but unable,Sudan,child care provider,3-5 years,no plans to look for work,escape persecution,once w/o authorization
6,2,4,1,1,male,college degree,broken English,Somalia,teacher,5+ years,interviews with employer,reunite with family,six months with family
6,2,4,2,0,female,graduate degree,tried English but unable,Germany,janitor,5+ years,will look for work,seek better job,once w/o authorization
6,2,5,1,1,female,8th grade,tried English but unable,France,waiter,5+ years,contract with employer,reunite with family,six months with family
6,2,5,2,0,female,8th grade,broken English,France,child care provider,5+ years,interviews with employer,seek better job,once w/o authorization
7,3,1,1,0,male,8th grade,used interpreter,Mexico,waiter,none,contract with employer,reunite with family,never
7,3,1,2,1,male,8th grade,broken English,China,child care provider,5+ years,interviews with employer,escape persecution,never
7,3,2,1,0,male,4th grade,fluent English,Poland,nurse,none,no plans to look for work,reunite with family,once as tourist
7,3,2,2,1,female,two-year college,fluent English,France,doctor,1-2 years,interviews with employer,seek better job,many times as tourist
7,3,3,1,0,female,two-year college,fluent English,Iraq,financial analyst,1-2 years,no plans to look for work,reunite with family,many times as tourist
7,3,3,2,1,male,high school,tried English but unable,France,child care provider,none,no plans to look for work,reunite with family,many times as tourist
7,3,4,1,1,female,college degree,fluent English,Poland,waiter,5+ years,contract with employer,reunite with family,six months with family
7,3,4,2,0,female,high school,tried English but unable,Poland,child care provider,1-2 years,contract with employer,reunite with family,never
7,3,5,1,1,female,4th grade,broken English,Mexico,teacher,none,interviews with employer,seek better job,never
7,3,5,2,0,male,graduate degree,used interpreter,India,doctor,3-5 years,interviews with employer,reunite with family,once w/o authorization
8,4,1,1,1,male,college degree,broken English,Iraq,computer programmer,none,interviews with employer,seek better job,once as tourist
8,4,1,2,0,male,no formal,tried English but unable,Iraq,waiter,1-2 years,no plans to look for work,reunite with family,once as tourist
8,4,2,1,1,male,two-year college,used interpreter,China,computer programmer,1-2 years,interviews with employer,reunite with family,many times as tourist
8,4,2,2,0,female,college degree,tried English but unable,Sudan,construction worker,3-5 years,no plans to look for work,escape persecution,once w/o authorization
8,4,3,1,1,female,two-year college,used interpreter,France,financial analyst,none,will look for work,reunite with family,many times as tourist
8,4,3,2,0,male,8th grade,fluent English,Somalia,nurse,5+ years,no plans to look for work,seek better job,many times as tourist
8,4,4,1,0,male,two-year college,used interpreter,Iraq,computer programmer,3-5 years,no plans to look for work,seek better job,never
8,4,4,2,1,female,graduate degree,used interpreter,Iraq,nurse,none,contract with employer,seek better job,never
8,4,5,1,0,male,no formal,fluent English,Sudan,construction worker,3-5 years,no plans to look for work,seek better job,once w/o authorization
8,4,5,2,1,female,high school,used interpreter,Somalia,nurse,3-5 years,interviews with employer,escape persecution,six months with family
9,5,1,1,0,male,college degree,used interpreter,India,computer programmer,3-5 years,no plans to look for work,seek better job,never
9,5,1,2,1,male,two-year college,broken English,India,computer programmer,1-2 years,will look for work,seek better job,once as tourist
9,5,2,1,1,female,graduate degree,broken English,Germany,research scientist,1-2 years,interviews with employer,seek better job,many times as tourist
9,5,2,2,0,female,two-year college,used interpreter,India,financial analyst,1-2 years,will look for work,seek better job,six months with family
9,5,3,1,1,female,high school,fluent English,Germany,waiter,none,interviews with employer,reunite with family,six months with family
9,5,3,2,0,male,high school,broken English,Poland,waiter,1-2 years,no plans to look for work,reunite with family,never
9,5,4,1,1,male,graduate degree,fluent English,Sudan,gardener,3-5 years,contract with employer,escape persecution,once as tourist
9,5,4,2,0,male,graduate degree,used interpreter,France,doctor,1-2 years,no plans to look for work,seek better job,once w/o authorization
9,5,5,1,0,female,4th grade,used interpreter,Iraq,construction worker,3-5 years,will look for work,escape persecution,six months with family
9,5,5,2,1,male,8th grade,tried English but unable,France,gardener,none,interviews with employer,reunite with family,once as tourist
10,6,1,1,1,male,graduate degree,used interpreter,France,construction worker,none,will look for work,reunite with family,many times as tourist
10,6,1,2,0,female,two-year college,used interpreter,Sudan,nurse,3-5 years,will look for work,escape persecution,once as tourist
10,6,2,1,1,male,college degree,used interpreter,India,financial analyst,1-2 years,no plans to look for work,seek better job,never
10,6,2,2,0,male,two-year college,tried English but unable,Iraq,gardener,5+ years,no plans to look for work,seek better job,once w/o authorization
10,6,3,1,1,female,4th grade,used interpreter,Germany,teacher,none,will look for work,reunite with family,many times as tourist
10,6,3,2,0,female,4th grade,fluent English,Sudan,waiter,1-2 years,interviews with employer,reunite with family,six months with family
10,6,4,1,0,male,4th grade,used interpreter,Mexico,gardener,1-2 years,interviews with employer,seek better job,many times as tourist
10,6,4,2,1,male,two-year college,broken English,France,nurse,3-5 years,will look for work,seek better job,never
10,6,5,1,0,male,two-year college,used interpreter,Philippines,research scientist,none,interviews with employer,reunite with family,once w/o authorization
10,6,5,2,1,male,4th grade,broken English,Philippines,janitor,5+ years,contract with employer,seek better job,once w/o authorization
11,7,1,1,0,male,graduate degree,used interpreter,Somalia,research scientist,none,interviews with employer,seek better job,many times as tourist
11,7,1,2,1,male,graduate degree,fluent English,Germany,doctor,3-5 years,interviews with employer,reunite with family,once w/o authorization
11,7,2,1,1,female,no formal,tried English but unable,China,nurse,3-5 years,will look for work,reunite with family,six months with family
11,7,2,2,0,male,4th grade,fluent English,Mexico,nurse,5+ years,interviews with employer,seek better job,many times as tourist
11,7,3,1,1,male,college degree,tried English but unable,Sudan,gardener,3-5 years,contract with employer,escape persecution,never
11,7,3,2,0,male,college degree,tried English but unable,France,computer programmer,5+ years,interviews with employer,seek better job,never
11,7,4,1,0,male,8th grade,used interpreter,Somalia,construction worker,none,no plans to look for work,reunite with family,many times as tourist
11,7,4,2,1,male,high school,fluent English,Somalia,construction worker,none,will look for work,seek better job,once w/o authorization
11,7,5,1,0,female,high school,fluent English,China,gardener,none,contract with employer,seek better job,six months with family
11,7,5,2,1,female,two-year college,fluent English,Mexico,doctor,3-5 years,will look for work,seek better job,many times as tourist
12,8,1,1,1,female,college degree,fluent English,Sudan,nurse,none,no plans to look for work,reunite with family,once w/o authorization
12,8,1,2,0,male,4th grade,used interpreter,India,janitor,5+ years,contract with employer,seek better job,never
12,8,2,1,1,female,college degree,used interpreter,China,computer programmer,3-5 years,no plans to look for work,reunite with family,six months with family
12,8,2,2,0,female,college degree,tried English but unable,Somalia,waiter,5+ years,contract with employer,seek better job,never
12,8,3,1,1,male,college degree,fluent English,Mexico,doctor,3-5 years,will look for work,seek better job,many times as tourist
12,8,3,2,0,male,college degree,fluent English,Somalia,teacher,3-5 years,interviews with employer,escape persecution,once as tourist
12,8,4,1,0,male,college degree,used interpreter,Mexico,child care provider,1-2 years,interviews with employer,reunite with family,once as tourist
12,8,4,2,1,male,two-year college,tried English but unable,Iraq,teacher,none,no plans to look for work,seek better job,six months with family
12,8,5,1,1,female,two-year college,tried English but unable,Iraq,child care provider,5+ years,contract with employer,reunite with family,six months with family
12,8,5,2,0,male,graduate degree,tried English but unable,Philippines,construction worker,none,contract with employer,reunite with family,once w/o authorization
13,9,1,1,0,male,college degree,used interpreter,Mexico,gardener,5+ years,contract with employer,seek better job,once as tourist
13,9,1,2,1,female,college degree,fluent English,Philippines,research scientist,3-5 years,will look for work,seek better job,never
13,9,2,1,0,male,graduate degree,fluent English,Iraq,gardener,none,no plans to look for work,seek better job,never
13,9,2,2,1,male,college degree,fluent English,Sudan,computer programmer,5+ years,contract with employer,escape persecution,six months with family
13,9,3,1,0,female,high school,broken English,Mexico,janitor,5+ years,will look for work,reunite with family,six months with family
13,9,3,2,1,female,high school,used interpreter,France,teacher,none,interviews with employer,seek better job,never
13,9,4,1,0,female,8th grade,tried English but unable,Poland,child care provider,3-5 years,will look for work,seek better job,six months with family
13,9,4,2,1,male,graduate degree,fluent English,Sudan,waiter,1-2 years,contract with employer,seek better job,many times as tourist
13,9,5,1,0,female,two-year college,broken English,Poland,gardener,3-5 years,contract with employer,seek better job,never
13,9,5,2,1,male,two-year college,broken English,Somalia,research scientist,none,interviews with employer,seek better job,six months with family
14,10,1,1,1,male,no formal,fluent English,China,construction worker,1-2 years,will look for work,reunite with family,once w/o authorization
14,10,1,2,0,female,college degree,tried English but unable,China,nurse,5+ years,no plans to look for work,reunite with family,never
14,10,2,1,1,female,high school,fluent English,Somalia,teacher,3-5 years,interviews with employer,seek better job,many times as tourist
14,10,2,2,0,male,high school,fluent English,France,teacher,1-2 years,no plans to look for work,seek better job,six months with family
14,10,3,1,0,female,graduate degree,broken English,France,nurse,none,no plans to look for work,reunite with family,once as tourist
14,10,3,2,1,female,high school,used interpreter,Somalia,waiter,3-5 years,contract with employer,seek better job,once as tourist
14,10,4,1,1,female,college degree,fluent English,Germany,computer programmer,none,contract with employer,seek better job,never
14,10,4,2,0,female,two-year college,broken English,Philippines,teacher,1-2 years,interviews with employer,seek better job,never
14,10,5,1,1,female,two-year college,fluent English,Iraq,doctor,5+ years,interviews with employer,seek better job,many times as tourist
