G,term,estimate,std.error,statistic,p.value,e_value,conf.low,conf.high
5,Gendermale,-0.07965341316008881,1.2255293738124011,-0.06499510730803733,1,0.9856383534323362,-Inf,Inf
5,Education4th grade,-0.46594904729400777,0.5207721705775145,-0.894727240853308,1,0.9974405347027426,-Inf,Inf
5,Education8th grade,-0.21595942018691835,0.5243037989734999,-0.4118974926554627,1,0.9884433941210208,-Inf,Inf
5,Educationhigh school,0.07926067377360757,0.8641808837454181,0.09171768927598407,1,0.9857120727098411,-Inf,Inf
5,Educationtwo-year college,-0.09630934760377363,0.28854877189933487,-0.33377146944632563,1,0.9874801223725942,-Inf,Inf
5,Educationcollege degree,-0.29868553877768567,0.5785314662369372,-0.516282270211659,1,0.9899899354687037,-Inf,Inf
5,Educationgraduate degree,0.21867069282808735,0.48170856836546966,0.45394810719286,1,0.989032524051964,-Inf,Inf
5,`Language Skills`broken English,0.21782635051682264,0.28381444423938845,0.7674956470259598,1,0.9946879854374368,-Inf,Inf
5,`Language Skills`tried English but unable,0.2277784319666719,0.8964147385526302,0.25409938298699514,1,0.9866866337126793,-Inf,Inf
5,`Language Skills`used interpreter,-0.34271128400962797,0.21853966301506525,-1.5681880317807704,0.9871911497914826,1.0129750456243687,-Inf,Inf
5,`Country of Origin`Germany,0.2510625767655671,1.4103817440773119,0.17801037046875218,1,0.9861191511160811,-Inf,Inf
5,`Country of Origin`France,0.39330752648801104,0.5499987071737397,0.7151062745385122,1,0.9936151550792124,-Inf,Inf
5,`Country of Origin`Mexico,-0.056674289205249084,0.7175537872375498,-0.07898263546686121,1,0.9856738231983369,-Inf,Inf
5,`Country of Origin`Philippines,0.12996273209424425,1.1407011448514575,0.11393232371233225,1,0.9857923263863656,-Inf,Inf
5,`Country of Origin`Poland,-0.024372078236260142,0.8472788349865706,-0.028765121032022993,1,0.9855784479799929,-Inf,Inf
5,`Country of Origin`China,0.30507323926464375,1.8623261483297873,0.16381300318327502,1,0.9860346435526802,-Inf,Inf
5,`Country of Origin`Sudan,-0.0428652807130272,0.9890214799594068,-0.04334110186847161,1,0.9855969931924994,-Inf,Inf
5,`Country of Origin`Somalia,-0.28788752671031526,0.7789424916526425,-0.36958765222772605,1,0.9878998367204714,-Inf,Inf
5,`Country of Origin`Iraq,-0.29247609073538444,0.4866938907551407,-0.6009446518459204,1,0.991436522056155,-Inf,Inf
5,Jobwaiter,0.2818163832274503,0.39011969265477026,0.7223844079997235,1,0.9937617141620483,-Inf,Inf
5,Jobchild care provider,0.08862273950668884,0.6190087799710275,0.14316879238907854,1,0.9859239954806077,-Inf,Inf
5,Jobgardener,-0.2608727825714726,1.174619164985582,-0.2220913725468414,1,0.9864246497988668,-Inf,Inf
5,Jobfinancial analyst,0.5946949255450578,1.3284738733015233,0.4476527069870948,1,0.9889413230309131,-Inf,Inf
5,Jobconstruction worker,0.7128284239327018,0.3082525014363203,2.3124822040737274,0.97356206178227,1.0271558837957704,-Inf,Inf
5,Jobteacher,0.8477123402021524,0.6040459665564754,1.4033904489665943,0.9908286399552507,1.0092562524688058,-Inf,Inf
5,Jobcomputer programmer,0.9587955427636521,0.9163078893039494,1.0463683156673216,0.9990945336506555,1.0009062869616911,-Inf,Inf
5,Jobnurse,0.6608851267989527,0.9746116230334495,0.6781010108846922,1,0.9928833493578785,-Inf,Inf
5,Jobresearch scientist,-0.02365939748075263,2.387966248185472,-0.009907760421124267,1,0.985565574609446,-Inf,Inf
5,Jobdoctor,0.3842092987666389,1.3986330593510596,0.2747034300368283,1,0.9868727674480883,-Inf,Inf
5,`Job Experience`1-2 years,-0.3691071499492552,0.8669840889293723,-0.4257369364241286,1,0.9886320274167952,-Inf,Inf
5,`Job Experience`3-5 years,-0.2139556329022015,0.4943216348306412,-0.4328267626309832,1,0.9887306790152718,-Inf,Inf
5,`Job Experience`5+ years,-0.23063082364598833,0.15743158656216616,-1.464959025582312,0.989449106837758,1.0106634015729847,-Inf,Inf
5,`Job Plans`contract with employer,0.41231742064175686,0.9864814993812099,0.41796771748926986,1,0.9885254871244388,-Inf,Inf
